IP地址,端口,回源端口,TLS,数据中心,地区,城市,网络延迟,下载速度
43.155.22.176,443,443,TRUE,HKG,Asia Pacific,Hong Kong,75 ms,25127
47.76.189.102,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,70 ms,23202
211.72.156.17,23555,23555,TRUE,KHH,Asia Pacific,Kaohsiung City,82 ms,19092
211.75.223.83,23555,23555,TRUE,KHH,Asia Pacific,Kaohsiung City,82 ms,18636
34.80.169.1,443,443,TRUE,TPE,Asia Pacific,Taipei,88 ms,18432
193.32.150.65,16870,16870,TRUE,NRT,Asia Pacific,Tokyo,145 ms,17822
60.249.89.74,23555,23555,TRUE,KHH,Asia Pacific,Kaohsiung City,77 ms,17527
47.76.29.115,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,16879
47.76.203.101,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,16546
3.112.21.102,443,443,TRUE,NRT,Asia Pacific,Tokyo,74 ms,16496
47.76.98.98,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,70 ms,16117
47.76.225.255,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,15894
118.163.175.167,23555,23555,TRUE,KHH,Asia Pacific,Kaohsiung City,92 ms,15712
212.50.251.20,16992,16992,TRUE,KIX,Asia Pacific,Osaka,71 ms,15663
172.84.92.152,58723,58723,TRUE,NRT,Asia Pacific,Tokyo,74 ms,15159
34.80.227.7,9998,9998,TRUE,TPE,Asia Pacific,Taipei,74 ms,14899
211.72.156.11,23555,23555,TRUE,KHH,Asia Pacific,Kaohsiung City,89 ms,14752
172.84.93.56,24167,24167,TRUE,NRT,Asia Pacific,Tokyo,78 ms,14504
61.222.202.100,23555,23555,TRUE,KHH,Asia Pacific,Kaohsiung City,77 ms,14306
118.163.175.168,23555,23555,TRUE,KHH,Asia Pacific,Kaohsiung City,87 ms,13561
3.35.124.166,8080,8080,TRUE,ICN,Asia Pacific,Seoul,107 ms,13525
15.165.49.161,8080,8080,TRUE,ICN,Asia Pacific,Seoul,111 ms,13274
47.76.233.67,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,12618
154.197.121.253,8443,8443,TRUE,SJC,North America,San Jose,177 ms,12035
150.66.24.104,34237,34237,TRUE,KIX,Asia Pacific,Osaka,79 ms,11938
211.72.156.10,23555,23555,TRUE,KHH,Asia Pacific,Kaohsiung City,90 ms,11219
154.23.247.207,443,443,TRUE,LAX,North America,Los Angeles,173 ms,10808
64.64.224.83,26639,26639,TRUE,LAX,North America,Los Angeles,171 ms,8965
47.243.245.171,25939,25939,TRUE,HKG,Asia Pacific,Hong Kong,56 ms,8800
154.19.187.47,13090,13090,TRUE,NRT,Asia Pacific,Tokyo,142 ms,8776
64.64.236.36,443,443,TRUE,LAX,North America,Los Angeles,170 ms,8706
47.76.214.139,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,74 ms,8270
203.69.248.40,27381,27381,TRUE,KHH,Asia Pacific,Kaohsiung City,103 ms,8046
35.178.96.204,8443,8443,TRUE,LHR,Europe,London,206 ms,7889
64.64.234.115,2054,2054,TRUE,LAX,North America,Los Angeles,169 ms,7841
47.236.180.51,2087,2087,TRUE,SIN,Asia Pacific,Singapore,222 ms,7783
8.210.200.31,11991,11991,TRUE,HKG,Asia Pacific,Hong Kong,56 ms,7616
47.236.9.152,2096,2096,TRUE,SIN,Asia Pacific,Singapore,219 ms,7563
104.20.27.224,2096,2096,TRUE,IAD,North America,Ashburn,258 ms,7054
52.49.41.80,2053,2053,TRUE,DUB,Europe,Dublin,204 ms,7021
8.219.201.245,2083,2083,TRUE,SIN,Asia Pacific,Singapore,223 ms,7018
47.236.80.110,2096,2096,TRUE,SIN,Asia Pacific,Singapore,218 ms,6869
89.208.242.68,40825,40825,TRUE,LAX,North America,Los Angeles,170 ms,6051
47.236.83.239,2087,2087,TRUE,SIN,Asia Pacific,Singapore,217 ms,5983
198.41.212.2,2053,2053,TRUE,IAD,North America,Ashburn,241 ms,5880
119.28.189.227,32079,32079,TRUE,HKG,Asia Pacific,Hong Kong,71 ms,5045
132.145.91.226,15238,15238,TRUE,NRT,Asia Pacific,Tokyo,72 ms,4904
162.159.142.252,2096,2096,TRUE,SJC,North America,San Jose,181 ms,4722
152.70.239.134,34237,34237,TRUE,ICN,Asia Pacific,Seoul,72 ms,4619
104.20.27.133,2096,2096,TRUE,IAD,North America,Ashburn,257 ms,4558
162.159.58.157,2053,2053,TRUE,SJC,North America,San Jose,193 ms,4362
43.129.251.240,52205,52205,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,3873
150.109.94.144,8900,8900,TRUE,SIN,Asia Pacific,Singapore,94 ms,3767
43.156.6.97,10392,10392,TRUE,SIN,Asia Pacific,Singapore,96 ms,3382
47.242.125.241,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,3164
43.134.189.122,34237,34237,TRUE,SIN,Asia Pacific,Singapore,95 ms,3042
129.226.88.14,53149,53149,TRUE,SIN,Asia Pacific,Singapore,91 ms,2770
45.78.25.86,50008,50008,TRUE,HKG,Asia Pacific,Hong Kong,326 ms,2572
43.224.50.213,36799,36799,TRUE,HKG,Asia Pacific,Hong Kong,82 ms,2075
51.38.69.149,2053,2053,TRUE,LHR,Europe,London,240 ms,1591
54.194.162.247,443,443,TRUE,DUB,Europe,Dublin,201 ms,1260
154.197.121.127,8443,8443,TRUE,SJC,North America,San Jose,183 ms,1055
8.210.38.199,38768,38768,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,713
123.202.145.26,443,443,TRUE,HKG,Asia Pacific,Hong Kong,70 ms,672
99.83.209.185,443,443,TRUE,IAD,North America,Ashburn,183 ms,649
43.156.119.123,58000,58000,TRUE,SIN,Asia Pacific,Singapore,89 ms,627
137.184.168.222,2053,2053,TRUE,YYZ,North America,Toronto,264 ms,604
54.169.152.207,2086,2086,TRUE,SIN,Asia Pacific,Singapore,100 ms,567
45.38.209.100,10002,10002,TRUE,KIX,Asia Pacific,Osaka,90 ms,508
34.80.86.119,4443,4443,TRUE,NRT,Asia Pacific,Tokyo,78 ms,505
146.56.146.7,21713,21713,TRUE,HKG,Asia Pacific,Hong Kong,86 ms,505
192.9.165.253,20001,20001,TRUE,SYD,Oceania,Sydney,335 ms,460
64.110.88.46,443,443,TRUE,ICN,Asia Pacific,Seoul,74 ms,380
8.210.55.134,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,352
23.158.24.65,24612,24612,TRUE,KIX,Asia Pacific,Osaka,80 ms,313
146.56.135.192,16617,16617,TRUE,HKG,Asia Pacific,Hong Kong,71 ms,156
75.2.32.4,443,443,TRUE,IAD,North America,Ashburn,207 ms,131
129.154.50.159,443,443,TRUE,ICN,Asia Pacific,Seoul,142 ms,96
158.180.68.56,443,443,TRUE,ICN,Asia Pacific,Seoul,146 ms,83
154.204.60.218,29876,29876,TRUE,HKG,Asia Pacific,Hong Kong,161 ms,67
112.120.250.175,44333,44333,TRUE,HKG,Asia Pacific,Hong Kong,121 ms,45
51.222.136.86,2053,2053,TRUE,YYZ,North America,Toronto,266 ms,25
210.68.95.96,443,443,TRUE,TPE,Asia Pacific,Taipei,86 ms,3
47.75.101.0,3443,3443,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,0
172.64.154.219,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,277 ms,0
185.186.244.184,81,81,TRUE,AMS,Europe,Amsterdam,213 ms,0
167.172.40.90,443,443,TRUE,AMS,Europe,Amsterdam,292 ms,0
146.56.179.219,443,443,TRUE,ICN,Asia Pacific,Seoul,72 ms,0
